iter	Passed	Remaining
575	4291	3159
576	4298	3150
577	4304	3142
578	4310	3134
579	4317	3126
580	4323	3118
581	4331	3110
582	4338	3103
583	4345	3095
584	4352	3087
585	4359	3079
586	4366	3072
587	4373	3064
588	4381	3057
589	4388	3049
590	4395	3041
591	4401	3033
592	4408	3025
593	4415	3018
594	4422	3010
595	4428	3001
596	4434	2993
597	4441	2985
598	4448	2977
599	4455	2970
600	4461	2962
601	4468	2954
602	4473	2945
603	4480	2937
604	4486	2929
605	4492	2920
606	4499	2912
607	4505	2904
608	4512	2897
609	4519	2889
610	4525	2881
611	4531	2872
612	4536	2864
613	4542	2855
614	4548	2847
615	4554	2839
616	4560	2830
617	4566	2822
618	4572	2814
619	4577	2805
620	4584	2797
621	4591	2790
622	4597	2782
623	4604	2774
624	4611	2766
625	4617	2758
626	4624	2751
627	4631	2743
628	4638	2736
629	4645	2728
630	4652	2720
631	4659	2713
632	4666	2705
633	4673	2697
634	4680	2690
635	4687	2682
636	4694	2675
637	4701	2667
638	4708	2660
639	4715	2652
640	4722	2645
641	4730	2637
642	4737	2630
643	4743	2622
644	4749	2614
645	4756	2606
646	4764	2599
647	4771	2591
648	4777	2584
649	4784	2576
650	4791	2568
651	4798	2561
652	4805	2553
653	4811	2545
654	4818	2538
655	4825	2530
656	4831	2522
657	4837	2514
658	4844	2506
659	4851	2499
660	4857	2491
661	4864	2483
662	4871	2476
663	4878	2468
664	4885	2460
665	4891	2453
666	4897	2445
667	4903	2437
668	4910	2429
669	4917	2422
670	4924	2414
671	4930	2406
672	4937	2399
673	4945	2391
674	4951	2384
675	4959	2376
676	4965	2369
677	4971	2361
678	4978	2353
679	4984	2345
680	4990	2337
681	4996	2329
682	5002	2321
683	5008	2313
684	5014	2305
685	5020	2298
686	5026	2290
687	5032	2282
688	5038	2274
689	5044	2266
690	5050	2258
691	5056	2250
692	5062	2242
693	5068	2234
694	5075	2227
695	5082	2219
696	5089	2212
697	5095	2204
698	5102	2197
699	5109	2189
700	5118	2183
701	5125	2175
702	5133	2168
703	5140	2161
704	5148	2154
705	5155	2146
706	5161	2139
707	5168	2131
708	5175	2124
709	5182	2116
710	5189	2109
711	5196	2101
712	5202	2094
713	5209	2086
714	5216	2079
715	5223	2071
716	5230	2064
717	5236	2056
718	5243	2049
719	5254	2043
720	5261	2035
721	5267	2028
722	5272	2020
723	5279	2012
724	5285	2004
725	5292	1997
726	5299	1989
727	5305	1982
728	5312	1974
729	5319	1967
730	5326	1960
731	5333	1952
732	5340	1945
733	5346	1937
734	5353	1930
735	5360	1922
736	5366	1915
737	5373	1907
738	5379	1900
739	5386	1892
740	5393	1885
741	5399	1877
742	5405	1869
743	5412	1862
744	5419	1854
745	5425	1847
746	5433	1840
747	5440	1832
748	5447	1825
749	5455	1818
750	5462	1810
751	5468	1803
752	5475	1796
753	5482	1788
754	5489	1781
755	5495	1773
756	5501	1766
757	5508	1758
758	5515	1751
759	5522	1744
760	5530	1736
761	5538	1729
762	5545	1722
763	5551	1714
764	5557	1707
765	5564	1699
766	5571	1692
767	5578	1685
768	5584	1677
769	5590	1669
770	5597	1662
771	5603	1654
772	5609	1647
773	5615	1639
774	5622	1632
775	5629	1624
776	5636	1617
777	5642	1610
778	5649	1602
779	5656	1595
780	5663	1588
781	5670	1580
782	5677	1573
783	5684	1566
784	5692	1559
785	5699	1551
786	5705	1544
787	5711	1536
788	5717	1529
789	5724	1521
790	5730	1514
791	5737	1506
792	5743	1499
793	5750	1491
794	5756	1484
795	5762	1476
796	5768	1469
797	5774	1461
798	5779	1453
799	5785	1446
800	5791	1438
801	5796	1431
802	5802	1423
803	5808	1415
804	5813	1408
805	5819	1400
806	5825	1393
807	5831	1385
808	5837	1378
809	5843	1370
810	5850	1363
811	5856	1355
812	5862	1348
813	5868	1340
814	5874	1333
815	5879	1325
816	5885	1318
817	5891	1310
818	5897	1303
819	5903	1295
820	5908	1288
821	5914	1280
822	5920	1273
823	5927	1265
824	5932	1258
825	5938	1251
826	5945	1243
827	5951	1236
828	5956	1228
829	5962	1221
830	5968	1213
831	5974	1206
832	5980	1198
833	5986	1191
834	5992	1184
835	5998	1176
836	6004	1169
837	6010	1161
838	6015	1154
839	6021	1146
840	6027	1139
841	6034	1132
842	6041	1125
843	6047	1117
844	6053	1110
845	6059	1102
846	6065	1095
847	6072	1088
848	6079	1081
849	6086	1074
850	6092	1066
851	6100	1059
852	6107	1052
853	6115	1045
854	6123	1038
855	6132	1031
856	6139	1024
857	6147	1017
858	6154	1010
859	6161	1003
860	6169	995
861	6176	988
862	6183	981
863	6189	974
864	6196	967
865	6203	959
866	6209	952
867	6216	945
868	6223	938
869	6230	930
870	6236	923
871	6243	916
872	6250	909
873	6256	902
874	6263	894
875	6270	887
876	6276	880
877	6283	873
878	6289	865
879	6295	858
880	6302	851
881	6308	844
882	6315	836
883	6321	829
884	6328	822
885	6335	815
886	6342	808
887	6349	800
888	6356	793
889	6362	786
890	6369	779
891	6375	771
892	6382	764
893	6389	757
894	6396	750
895	6403	743
896	6410	736
897	6416	728
898	6422	721
899	6429	714
900	6435	707
901	6442	699
902	6448	692
903	6454	685
904	6460	678
905	6466	670
906	6473	663
907	6480	656
908	6486	649
909	6492	642
910	6498	634
911	6505	627
912	6511	620
913	6517	613
914	6523	606
915	6529	598
916	6536	591
917	6542	584
918	6548	577
919	6554	569
920	6560	562
921	6567	555
922	6572	548
923	6578	541
924	6585	533
925	6592	526
926	6598	519
927	6604	512
928	6610	505
929	6617	498
930	6623	490
931	6629	483
932	6637	476
933	6644	469
934	6650	462
935	6658	455
936	6665	448
937	6672	441
938	6678	433
939	6686	426
940	6693	419
941	6700	412
942	6707	405
943	6715	398
944	6723	391
945	6730	384
946	6737	377
947	6745	370
948	6752	362
949	6760	355
950	6767	348
951	6774	341
952	6781	334
953	6788	327
954	6795	320
955	6802	313
956	6808	305
957	6815	298
958	6822	291
959	6829	284
960	6836	277
961	6843	270
962	6850	263
963	6857	256
964	6864	248
965	6871	241
966	6878	234
967	6886	227
968	6892	220
969	6899	213
970	6906	206
971	6912	199
972	6919	192
973	6927	184
974	6935	177
975	6943	170
976	6951	163
977	6974	156
978	6981	149
979	6988	142
980	6995	135
981	7002	128
982	7008	121
983	7015	114
984	7022	106
985	7028	99
986	7035	92
987	7041	85
988	7048	78
989	7055	71
990	7061	64
991	7068	57
992	7075	49
993	7082	42
994	7089	35
995	7096	28
996	7103	21
997	7110	14
998	7117	7
999	7123	0
