iter	Logloss
221	0.3848068685
222	0.383969442
223	0.3832944747
224	0.3826191394
225	0.3817742173
226	0.3808452045
227	0.3801369088
228	0.3788957601
229	0.377740074
230	0.3768122659
231	0.3759901316
232	0.3751480203
233	0.3746141299
234	0.3738911109
235	0.3729931176
236	0.3717905509
237	0.3710254028
238	0.3700499779
239	0.3691661057
240	0.3683220871
241	0.3672327232
242	0.3664953154
243	0.3654703663
244	0.3644122227
245	0.3638152225
246	0.3627790301
247	0.3619245712
248	0.3609180599
249	0.3598757774
250	0.3590276094
251	0.3577743474
252	0.3567807859
253	0.3558412995
254	0.354863666
255	0.3540525743
256	0.3531389876
257	0.352657633
258	0.3517020178
259	0.3508516079
260	0.3498908394
261	0.3489964601
262	0.3483653284
263	0.3477708713
264	0.3470508304
265	0.346424283
266	0.3454793422
267	0.3450165257
268	0.344080352
269	0.3431538824
270	0.3419389346
271	0.3410945144
272	0.3399178809
273	0.3395015435
274	0.3386917568
275	0.3379925293
276	0.337107051
277	0.3363580652
278	0.3354999924
279	0.3348702996
280	0.3343223885
281	0.3336615089
282	0.3329038564
283	0.3322610129
284	0.3317046693
285	0.3310698233
286	0.3304658629
287	0.3292595484
288	0.3283613544
289	0.327717942
290	0.3269503178
291	0.3262464726
292	0.3255251266
293	0.3246900424
294	0.3238399337
295	0.3230994138
296	0.322250242
297	0.321656655
298	0.3210366662
299	0.3202933355
300	0.3195966513
301	0.3186365855
302	0.3178534682
303	0.3173367105
304	0.3166785413
305	0.3157062953
306	0.3151229142
307	0.3145123284
308	0.3136736972
309	0.3130367096
310	0.31223569
311	0.3116018478
312	0.3105605022
313	0.3098736559
314	0.3095441864
315	0.3088721639
316	0.308337805
317	0.3077613841
318	0.3069485188
319	0.3065148145
320	0.3057611105
321	0.3049597897
322	0.3043463261
323	0.3039222589
324	0.3032196183
325	0.3024361998
326	0.3016989258
327	0.3010630425
328	0.3003231919
329	0.2998685402
330	0.2995483398
331	0.298837066
332	0.2981912443
333	0.297603647
334	0.2969806466
335	0.2965124092
336	0.2960480534
337	0.2951685983
338	0.2945447279
339	0.2939011147
340	0.2933990804
341	0.2928218564
342	0.2922291059
343	0.2915590241
344	0.2910789746
345	0.290515972
346	0.2900089518
347	0.2895593863
348	0.2889275185
349	0.2884094892
350	0.2878349422
351	0.2872638752
352	0.2866742033
353	0.2859538946
354	0.2853347089
355	0.2846576336
356	0.2841354884
357	0.2835131573
358	0.282970734
359	0.2823804598
360	0.2820088948
361	0.2815329945
362	0.2811160548
363	0.2805842725
364	0.2799587457
365	0.2798130008
366	0.279467068
367	0.2787018865
368	0.2780441188
369	0.2774666104
370	0.2766964262
371	0.2761751176
372	0.2757247658
373	0.2754812442
374	0.2749115827
375	0.2742128907
376	0.273506151
377	0.2729621717
378	0.2724650229
379	0.2718705658
380	0.2712255807
381	0.2709130265
382	0.2704924226
383	0.2700184966
384	0.2696165145
385	0.2692246546
386	0.2685894405
387	0.2680176374
388	0.2676699311
389	0.2670934098
390	0.2664677826
391	0.2659972697
392	0.2655813338
393	0.2651421082
394	0.2646380829
395	0.2641119056
396	0.2633888865
397	0.2629479208
398	0.2626855767
399	0.2622019466
400	0.2615109175
401	0.26082034
402	0.2602599476
403	0.259924639
404	0.2593149231
405	0.2587475705
406	0.2582559095
407	0.2576712736
408	0.2570171366
409	0.256543679
410	0.2559515978
411	0.2554468865
412	0.2551420955
413	0.2545173383
414	0.2539658635
415	0.2533223843
416	0.2528708445
417	0.2525730471
418	0.2522402984
419	0.2517244107
420	0.2513234659
421	0.2508249284
422	0.2502449939
423	0.2498557777
424	0.2493488913
425	0.2489277353
426	0.2484488903
427	0.247786806
428	0.247306723
429	0.2468047389
430	0.2462672848
431	0.2455976045
432	0.2450656382
433	0.2445399963
434	0.244163412
435	0.2435309585
436	0.2429953783
437	0.2426440915
438	0.242279035
439	0.2417255357
440	0.2414431477
441	0.2408407099
442	0.2404625529
443	0.2399340834
444	0.2391347201
445	0.238679349
446	0.2383844293
447	0.237994778
448	0.2374729508
449	0.2371594596
450	0.236595838
451	0.2361689097
452	0.2357174034
453	0.2352093794
454	0.2346937259
455	0.2341517712
456	0.2337346975
457	0.2333251529
458	0.2327467577
459	0.2320860454
460	0.2316397592
461	0.2312824659
462	0.230853212
463	0.2305179034
464	0.2299597529
465	0.2295423614
466	0.2291777232
467	0.228797274
468	0.2284538006
469	0.2279717935
470	0.2277035934
471	0.2272284962
472	0.2269849579
473	0.2265506847
474	0.2260877678
475	0.2256291675
476	0.2250101826
477	0.2244561312
478	0.2239715642
479	0.2235616347
480	0.2230739557
481	0.2225848713
482	0.2221976962
483	0.2217354318
484	0.2214599872
485	0.2209573339
486	0.2205939672
487	0.2201286075
488	0.2194016399
489	0.2189674001
490	0.2185385311
491	0.218092797
492	0.2175901437
493	0.2173436774
494	0.2169451753
495	0.2164422375
496	0.2160171664
497	0.2155418015
498	0.2150643453
499	0.2146853851
500	0.214320864
501	0.2139399296
502	0.2136530911
503	0.2132758041
504	0.212893732
505	0.2126229387
506	0.212177305
507	0.2117178514
508	0.21137401
509	0.2109888259
510	0.2105523776
511	0.2102229416
512	0.2097446321
513	0.2092717267
514	0.2088870278
515	0.2085884273
516	0.2081032078
517	0.2076077154
518	0.2071765541
519	0.2067384495
520	0.2062815892
521	0.2059398391
522	0.205586578
523	0.2053450642
524	0.2049305337
525	0.2044772372
526	0.2041413095
527	0.2037996264
528	0.2034907195
529	0.2031127131
530	0.202825724
531	0.2024949328
532	0.2020710998
533	0.201755718
534	0.2014486181
535	0.2010217902
536	0.2007190739
537	0.2003167738
538	0.2000149944
539	0.1995876981
540	0.1993598536
541	0.1989158094
542	0.1985471222
543	0.1981836383
544	0.1978032896
545	0.1975508168
546	0.1971789172
547	0.1970032236
548	0.1967904371
549	0.1964583911
550	0.1960244023
551	0.1956654861
552	0.1952859404
553	0.194896791
554	0.1944703145
555	0.1940660736
556	0.1936711688
557	0.1934142121
558	0.1931304521
559	0.192554851
560	0.1921958344
561	0.1919555586
562	0.1915801455
563	0.1911456883
564	0.1907650048
565	0.1905088512
566	0.1901055641
567	0.189703264
568	0.1893550055
569	0.1889707249
570	0.1886121433
571	0.188269791
572	0.1878551266
573	0.1874322306
574	0.186995615
575	0.1866081889
576	0.1862461105
577	0.1859741125
578	0.1856783563
579	0.1854748221
580	0.1851839514
581	0.184893934
582	0.1844983933
583	0.1841624657
584	0.1838828216
585	0.183582799
586	0.1832269613
587	0.182975392
588	0.1826443833
589	0.1822951711
590	0.1820017406
591	0.1817711354
592	0.1814831592
593	0.1812084507
594	0.1808075394
595	0.1804400401
596	0.1801374911
597	0.1797469698
598	0.1794187886
599	0.179135196
600	0.1788314256
601	0.1785822656
602	0.1782636881
603	0.1779231594
604	0.1776379271
605	0.1772266424
606	0.1769185889
607	0.1766631714
608	0.1763285823
609	0.1760258492
610	0.1757545539
611	0.1753782206
612	0.1750564977
613	0.1748184639
614	0.1745586964
615	0.1741001295
616	0.1738647058
617	0.1735032297
618	0.1733234872
619	0.1729571256
620	0.1726186214
621	0.1722695765
622	0.1718250471
623	0.1716115077
624	0.1712934489
625	0.1709652009
626	0.1705713333
627	0.1701667244
628	0.1699231024
629	0.1697425066
630	0.1694611559
631	0.1691534704
632	0.1687957588
633	0.1684201617
634	0.1682510601
635	0.168041921
636	0.167714292
637	0.1674927384
638	0.1673210435
639	0.1670359618
640	0.1667469649
641	0.1665677411
642	0.1663470909
643	0.1660389035
644	0.1657440006
645	0.1654871443
646	0.1649291778
647	0.1645484609
648	0.1642403404
649	0.1639912975
650	0.1636632168
651	0.1633920888
652	0.1632140361
653	0.1628434583
654	0.1624525187
655	0.1621779943
656	0.1618436896
657	0.1615984949
658	0.1613147851
659	0.1611524095
660	0.1608494087
661	0.1605439652
662	0.1603961457
663	0.1601355248
664	0.159788722
665	0.1594622976
666	0.159205458
667	0.1589990795
668	0.1586979024
669	0.1584728855
670	0.1581508781
671	0.1579000952
672	0.157520767
673	0.157331655
674	0.1570317663
675	0.1567466678
676	0.1563738982
677	0.1561530138
678	0.1558515858
679	0.1554581365
680	0.15514155
681	0.154849458
682	0.1546765752
683	0.1544754168
684	0.1541367453
685	0.1538458076
686	0.1535955267
687	0.1533798624
688	0.1530905644
689	0.1528268651
690	0.1525621618
691	0.1522883569
692	0.1520004811
693	0.1517749454
694	0.1515106605
695	0.1512347307
696	0.1509749631
697	0.1508471708
698	0.1506321423
699	0.1503805395
700	0.1501571455
701	0.1498486234
702	0.1496138857
703	0.1491914581
704	0.1489183224
705	0.1487086646
706	0.1484088762
707	0.1481949519
708	0.1479570855
709	0.1476751826
710	0.1474698247
711	0.1471115443
712	0.1468673367
713	0.1465782228
714	0.1463343164
715	0.1459630526
716	0.1457009427
717	0.1453998325
718	0.1451798349
719	0.1450146484
720	0.144749711
721	0.1446024436
722	0.1443534844
723	0.1441339719
724	0.1439280452
725	0.1436752378
726	0.1435070899
727	0.1433548868
728	0.1431333834
729	0.142800986
730	0.1425685404
731	0.1422775191
732	0.1420560324
733	0.1417988917
734	0.1416139625
735	0.1413796932
736	0.1412192751
737	0.1410254952
738	0.1407111172
739	0.1405285137
740	0.1402691979
741	0.1400732931
742	0.1397307064
743	0.1395277662
744	0.1392419399
745	0.1388672211
746	0.1385884387
747	0.1383711013
748	0.1381483263
749	0.137945294
750	0.1376227011
751	0.1374673274
752	0.1371894234
753	0.1370185065
754	0.1366981974
755	0.1364808684
756	0.1361318402
757	0.1359693977
758	0.1357090446
759	0.1355015284
760	0.1352845256
761	0.1350901182
762	0.1348530381
763	0.1345287219
764	0.1342638513
765	0.1340948251
766	0.1338662946
767	0.1336558002
768	0.133502953
769	0.1333093989
770	0.1330471552
771	0.1328018015
772	0.1325756803
773	0.1323826197
774	0.1321074512
775	0.1319220284
776	0.1317002824
777	0.1314527453
778	0.1313060886
779	0.1310474504
780	0.1309105814
781	0.1307074906
782	0.1305626575
783	0.1302715777
784	0.1300812946
785	0.1299250007
786	0.1297195341
787	0.1295356171
788	0.1293296485
789	0.1290679736
790	0.1288064159
791	0.1286594329
792	0.1284983121
793	0.1282953551
794	0.12806951
795	0.1278255199
796	0.1276670928
797	0.1275004173
798	0.1273122004
799	0.1271103812
800	0.1268620494
801	0.1267314629
802	0.1264821021
803	0.1262967965
804	0.1261042546
805	0.1258706462
806	0.1256489253
807	0.125470814
808	0.1252647869
809	0.1251089113
810	0.124905695
811	0.1248144936
812	0.124598821
813	0.1244166189
814	0.1242260095
815	0.1240259972
816	0.1238927923
817	0.123758182
818	0.1235585294
819	0.1233252724
820	0.1231270503
821	0.122939921
822	0.1227653567
823	0.1226098409
824	0.1223647131
825	0.1222349297
826	0.1220362643
827	0.1217495931
828	0.1215425788
829	0.1213606445
830	0.1211870925
831	0.1210291171
832	0.1208065429
833	0.1206292013
834	0.1204423647
835	0.1202453306
836	0.12010545
837	0.1199020747
838	0.1197196301
839	0.1194947553
840	0.1193207097
841	0.1190249703
842	0.1188779789
843	0.1186513976
844	0.11843099
845	0.1181360286
846	0.1179744142
847	0.1178032464
848	0.117582956
849	0.117347047
850	0.117143563
851	0.1169593282
852	0.1167664099
853	0.1164850592
854	0.1162091294
855	0.1160377859
856	0.1158763806
857	0.115689176
858	0.1155516963
859	0.115298914
860	0.1151870079
861	0.1150329811
862	0.1148871107
863	0.1146619599
864	0.114562761
865	0.1143929986
866	0.1142652146
867	0.1140129342
868	0.1137998047
869	0.1136376382
870	0.1134765342
871	0.1133786403
872	0.1131858643
873	0.1130458749
874	0.1128982394
875	0.1127207221
876	0.1125751613
877	0.1124269904
878	0.1122035127
879	0.1120204741
880	0.1117843058
881	0.1116091894
882	0.1114147737
883	0.1112529502
884	0.1110613788
885	0.1108818705
886	0.1107126351
887	0.1105473148
888	0.1103745742
889	0.1102151767
890	0.1100217816
891	0.1098370197
892	0.1096952903
893	0.1095487591
894	0.1093891859
895	0.1092333522
896	0.1091299203
897	0.1090333148
898	0.1088594449
899	0.1086775942
900	0.1085434524
901	0.1083610077
902	0.1082219469
903	0.1080708565
904	0.1079138181
905	0.1077570892
906	0.1075954498
907	0.1074339107
908	0.107207321
909	0.1070677081
910	0.1069490676
911	0.1067556139
912	0.1065487586
913	0.1063667239
914	0.1061927201
915	0.106061088
916	0.1058480672
917	0.1057094582
918	0.1055924908
919	0.1054212142
920	0.1052833999
921	0.1051236678
922	0.1049395417
923	0.1047203305
924	0.1045689472
925	0.1043841184
926	0.1042212994
927	0.1040988944
928	0.1039672121
929	0.1038302594
930	0.1036523824
931	0.1034014322
932	0.1032537214
933	0.1031212359
934	0.1029797575
935	0.1028196406
936	0.102654521
937	0.1025122228
938	0.1023915077
939	0.1022543458
940	0.1021127921
941	0.1018943421
942	0.1017904752
943	0.101621884
944	0.1014817859
945	0.1013176702
946	0.1012160872
947	0.1011015375
948	0.1009455281
949	0.1007799652
950	0.1006399758
951	0.1004340072
952	0.100317065
953	0.1001001877
954	0.100003122
955	0.09986833604
956	0.09970201187
957	0.09961159684
958	0.09943814521
959	0.09924196434
960	0.09906647151
961	0.09894266951
962	0.09877066512
963	0.09864954847
964	0.09848128349
965	0.09831771159
966	0.09821208796
967	0.09804840731
968	0.09795319881
969	0.09781791926
970	0.09772626612
971	0.09760001301
972	0.09747375153
973	0.09737338985
974	0.09719692661
975	0.09702769123
976	0.0968835358
977	0.09676282906
978	0.09657852729
979	0.09641312334
980	0.09628501307
981	0.09616536875
982	0.09604182609
983	0.09591719589
984	0.09574474813
985	0.09558995171
986	0.09543766496
987	0.09530366534
988	0.09515240755
989	0.09499401394
990	0.09486100981
991	0.0947274452
992	0.09457420477
993	0.09444197028
994	0.09434653591
995	0.09419519447
996	0.09405207638
997	0.09393489154
998	0.0937754606
999	0.09363987152
