feature,shap_importance
METH_ZNF132,0.013119881495826347
GENE_FABP7,0.01196753092087714
ER_STATUS_BY_IHC,0.011133776704701441
AGE,0.010977794522786521
METH_TRIP10,0.010175920052349203
METH_TGFB2,0.009502339200068478
TUMOR_STAGE_ENC,0.008823267332641733
METH_P2RY1,0.008081392579418478
METH_WT1,0.007865964828465258
METH_IL22RA2,0.007373230487344829
METH_LRRN2,0.006759296192033965
GENE_RPLP0,0.006709431732432047
METH_NFE2L3,0.006234123579158637
METH_CD74,0.0062099857300428225
METH_CYP24A1,0.0059887677301321066
METH_SND1,0.005691852896438513
GENE_IGF1R,0.005640152812847299
GENE_NTS,0.005439256535002249
GENE_ENO1,0.005332107019130381
GENE_SCUBE2,0.0051638821025231695
GENE_ADAM6,0.005096313853726795
GENE_IGFBP4,0.005002183237448026
GENE_LYZ,0.004962863855843602
GENE_VTCN1,0.004955632788041156
METH_C5orf39,0.004789870678859424
METH_PCDP1,0.004775191937168169
GENE_ESR1,0.004756544838762935
METH_SLC35F1,0.004659507181826645
GENE_PABPC2,0.004657192151609524
GENE_BMS1P20,0.004631363919944623
METH_ZNF572,0.0044462690157271
METH_GSTM1,0.004438464383535133
METH_TTC23,0.004285605960165908
GENE_B2M,0.004208768071189915
GENE_SERPINA1,0.004206425757997229
GENE_SERPINA3,0.0041566645343913584
GENE_CHGA,0.00410322683844189
METH_SIX3,0.004031528714220194
METH_NDRG1,0.00402300559929477
GENE_ACTB,0.003999007061111792
METH_GRIN2A,0.003964812122507988
METH_ZNF471,0.003953552279407727
METH_SHISA3,0.0038859539661655258
METH_VIPR2,0.0038669205729358756
METH_ANKH,0.0038566460168028764
GENE_IFI6,0.0038309364757526613
GENE_COL5A1,0.0037267359176360337
METH_FAM126A,0.0037213943246519176
GENE_FDCSP,0.0036524745038322144
METH_TFAP2B,0.0036409895552905244
GENE_STC2,0.0036268068904164396
METH_CLIP4,0.003586421966040862
GENE_KRT15,0.003547473173824181
GENE_S100A8,0.0034814923608589166
GENE_EEF1G,0.0034780304667648464
GENE_TAGLN2,0.003471882444088834
GENE_ATP1A1,0.0032918666738854835
GENE_CMT2F,0.0032429115025401772
GENE_MMP2,0.003144095351966211
GENE_AEBP1,0.003110860859437742
GENE_NPY1R,0.0030723844834912735
METH_MT1G,0.0030363461269649035
GENE_NME2,0.003030749380719518
METH_XKR6,0.0030065192868181383
GENE_CRISP3,0.0030065063088849197
METH_SOX9,0.0029884418774643994
GENE_KRT7,0.0029467088988605504
METH_SLFN11,0.0029348774354448826
GENE_CD24,0.002883318589426126
METH_KLK8,0.002826894115932344
GENE_LASP1,0.0028248796625442397
GENE_ALDOA,0.0028214007089341774
GENE_SMR3B,0.0028132949115816804
GENE_SLPI,0.0027718952732673015
GENE_COL1A1,0.002722807982062288
METH_FRG1B,0.002699737949597862
GENE_YWHAD,0.002698609282942631
GENE_COL1A2,0.002687842053264224
METH_IL20RA,0.002683547694337423
GENE_EEF1A1,0.0026816862940572672
GENE_CADASIL,0.0026677721189491627
METH_FZD1,0.0025607429921081486
METH_RAD51AP2,0.0025302193299969276
GENE_APP,0.0024988946228383453
METH_RNF212,0.0024815716134691536
GENE_TFF1,0.002466135220014258
METH_GPRC5B,0.0024561080899020847
GENE_GFRA1,0.002438466000462429
METH_VANGL2,0.0023854887278475408
GENE_XBP1,0.0023749425483757997
GENE_RPS12,0.00237416510105183
GENE_RPS20,0.0023305698334315458
GENE_RPS2,0.0023243748147528187
GENE_AS,0.0022918527750256574
PR_STATUS_BY_IHC,0.0022757036159877916
GENE_CLEC3A,0.002242634131723826
GENE_SLC39A6,0.0022320306884093775
GENE_S100A9,0.00223163476416007
GENE_LGALS3BP,0.0021851470556143323
GENE_CFB,0.0021539155063480028
METH_PTDSS1,0.0021402157843298424
GENE_TMSB4XP8,0.002127703197303271
GENE_NDRG1,0.0020384789178768915
GENE_RPS6,0.0020375400454065488
GENE_KRT1,0.002032640246874025
GENE_CPB1,0.0020043589559040785
GENE_RPS24,0.0019626139923444876
GENE_FLNB,0.0018901024718196025
METH_NAV1,0.0018819694746306185
GENE_COL6A2,0.0018624819271787815
GENE_CARTPT,0.0018537859383532978
GENE_RPS3,0.0018384381778369465
GENE_CLTCL2,0.0018356475036898725
GENE_CLU,0.0017907199019651279
GENE_RPL3,0.0017783095474481966
GENE_CRABP2,0.0017415802663591261
METH_ULBP2,0.0017258131902020248
GENE_CA12,0.0017159934495666693
GENE_CRIP1,0.0017130665967694215
GENE_UBC,0.0017096581893185454
GENE_KRT19,0.0016902358440127382
GENE_AGR2,0.001688224962733178
GENE_MUC1,0.0016472674903782467
METH_LOC399959,0.0016298423380485413
GENE_CSN3,0.0016202901937930427
GENE_RGS5,0.0016051284921674602
GENE_RPL41,0.001597076035261161
GENE_TNC,0.001533205330134422
GENE_SPARC,0.001528996226664141
METH_CD58,0.001504278631991802
GENE_PPP1R1B,0.0015042149510052765
GENE_RPS4X,0.0014875419304047296
METH_HOXA10,0.001484170518725193
GENE_CCND1,0.001483976225543552
GENE_H3F3B,0.0014450326809312818
GENE_TMSB10,0.0013793786409529458
METH_OTX1,0.001344335835955661
GENE_AHNAK,0.0013043283134054277
GENE_TFF3,0.0012701421897586276
GENE_CTNND1,0.0012483457192814357
GENE_PEG10,0.0012352757784165782
GENE_CXCL14,0.0012117560281863368
GENE_PSMD3,0.0011836044453134326
GENE_GLUL,0.001094477887788514
GENE_TBC1D9,0.0010667298366694535
GENE_GJA1,0.0010237698525348122
GENE_BGN,0.0009920179172210812
GENE_CSN2,0.0009592322004794844
GENE_GNAS,0.0008413654085033904
GENE_RPL30,0.0008033542648669405
